kategorie,episode,MMM-Forum-Link,wiki_url,Wiki-AT-Link Fixed,AT-Forum-Link (neu),AT-Forum-Link (alt),Longplay-Link
Mini Episoden,MMMMM #1 - Eds Paket,https://www.maniac-mansion-mania.de/forum/index.php?topic=2394.0,http://wiki.maniac-mansion-mania.de/wiki/Eds_Paket,,,,https://www.youtube.com/watch?v=ISGQ2_KrvT8&list=PLF3YnSazju8E6vEfW_2HpdS-EvYo8dL01&index=2&pp=iAQB
Mini Episoden,MMMMM #2 - Wendy im finsteren Keller (Version 2.0),https://www.maniac-mansion-mania.de/forum/index.php?topic=2407.0,http://wiki.maniac-mansion-mania.de/wiki/Wendy_im_finsteren_Keller,,,,https://www.youtube.com/watch?v=Tln5zAj7XjY&list=PLF3YnSazju8E6vEfW_2HpdS-EvYo8dL01&index=9&pp=iAQB
Mini Episoden,MMMMM #3: Harrys verwegener Tag,https://www.maniac-mansion-mania.de/forum/index.php?topic=2438.0,,,," ",https://www.youtube.com/watch?v=6-8QJBc7-w0&list=PLF3YnSazju8E6vEfW_2HpdS-EvYo8dL01&index=5&pp=iAQB0gcJCQMLAYcqIYzv
Mini Episoden,MMMMM #4 Bertholds Rückkehr,https://www.maniac-mansion-mania.de/forum/index.php?topic=2668.0,http://wiki.maniac-mansion-mania.de/wiki/Bertholds_R%C3%BCckkehr,,," ",https://www.youtube.com/watch?v=VrmXieaaa9I&list=PLF3YnSazju8E6vEfW_2HpdS-EvYo8dL01&index=6&pp=iAQB
Mini Episoden,MMMMM #5: Marcys Bestimmung,https://www.maniac-mansion-mania.de/forum/index.php?topic=2674.0,http://wiki.maniac-mansion-mania.de/wiki/Marcys_Bestimmung,,," ",https://www.youtube.com/watch?v=Y-d9sFD7QcY&list=PLF3YnSazju8E6vEfW_2HpdS-EvYo8dL01&index=8&pp=iAQB
Maniac Dungeon,Maniac Dungeon-Special,https://www.maniac-mansion-mania.de/forum/index.php?topic=1299.0,,,https://www.adventure-treff.de/forum/topic/10729,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=10729,https://www.youtube.com/watch?v=FouMxpS91yc&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs
Maniac Dungeon,Raum 1: The great Escape from Maniac Dungeon,,http://wiki.maniac-mansion-mania.de/wiki/The_great_Escape_from_Maniac_Dungeon,,," ",https://www.youtube.com/watch?v=FouMxpS91yc&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=1
Maniac Dungeon,Raum 2: Der Bunker," ",http://wiki.maniac-mansion-mania.de/wiki/Der_Bunker,,,,https://www.youtube.com/watch?v=kjO-ofeg46Y&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=2
Maniac Dungeon,Raum 3: Der Verbindungstunnel," ",http://wiki.maniac-mansion-mania.de/wiki/Der_Verbindungstunnel,,,,https://www.youtube.com/watch?v=gZpEVukMkOY&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=3
Maniac Dungeon,Raum 4: Die Grotte," ",http://wiki.maniac-mansion-mania.de/wiki/Die_Grotte,,,,https://www.youtube.com/watch?v=K9RCM4apA0U&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=4
Maniac Dungeon,Raum 5: Tief unter der Erde," ",http://wiki.maniac-mansion-mania.de/wiki/Tief_unter_der_Erde,,,,https://www.youtube.com/watch?v=kgJpIao7PV4&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=5
Maniac Dungeon,Raum 6: The Race," ",http://wiki.maniac-mansion-mania.de/wiki/The_Race,,,,https://www.youtube.com/watch?v=1WAx42EF8rQ&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=6
Maniac Dungeon,Raum 7: Das unheimliche Wesen aus einem fremden Raum," ",http://wiki.maniac-mansion-mania.de/wiki/Das_unheimliche_Wesen_aus_einem_fremden_Raum,,,,https://www.youtube.com/watch?v=MclZq03DH5I&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=7
Maniac Dungeon,Raum 8: Die Brücke," ",http://wiki.maniac-mansion-mania.de/wiki/Die_Br%C3%BCcke,,,,https://www.youtube.com/watch?v=6pnCcSwtV28&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=9
Maniac Dungeon,"Raum 9: Und dann gab's wirklich, echt überhaupt gar keins mehr, ehrlich!"," ",http://wiki.maniac-mansion-mania.de/wiki/Und_dann_gab%27s_wirklich_echt_%C3%BCberhaupt_gar_keins_mehr_ehrlich!,,,,https://www.youtube.com/watch?v=pbrmNxePgAw&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=10
Maniac Dungeon,Raum 10: Die neue Gefahr," ",http://wiki.maniac-mansion-mania.de/wiki/Die_neue_Gefahr,,,,https://www.youtube.com/watch?v=enFXBW_32Z8&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=11
Maniac Dungeon,Raum 11: Die vergrabene Gruft," ",http://wiki.maniac-mansion-mania.de/wiki/Die_vergrabene_Gruft,,,,https://www.youtube.com/watch?v=qub3LG9fEV4&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=12
Maniac Dungeon,Raum 12: Die Holozelle," ",http://wiki.maniac-mansion-mania.de/wiki/Die_Holozelle,,,,https://www.youtube.com/watch?v=V4I92Enggzc&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=13
Maniac Dungeon,Raum 13: Der Trockenraum," ",http://wiki.maniac-mansion-mania.de/wiki/Der_Trockenraum,,,,https://www.youtube.com/watch?v=OO6GHK_Js8U&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=14
Maniac Dungeon,Raum 14: Vor der Tür," ",http://wiki.maniac-mansion-mania.de/wiki/Vor_der_T%C3%BCr,,,,https://www.youtube.com/watch?v=fKts2B6BXIM&list=PLF3YnSazju8E0A-CEFAJHF-YLPfltjCcs&index=15
